date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:41	15712/15712	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2008:35:15%20GMT	http://visiovista.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-pug/assets/css/style-frontenda721.css	(from http://visiovista.com/)
21:08:41	29067/29067	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202017%2015:29:04%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/font-awesome.min.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/css/font-awesome.mina721.css	(from http://visiovista.com/)
21:08:42	4/4	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202017%2015:29:04%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/wplcstyle.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/css/wplcstylea721.css	(from http://visiovista.com/)
21:08:42	1445/1445	---MC-	200	added ('OK')	application/rss+xml	etag:%22baf2be5879a368c525ab3a6f0c77b942%22	http://visiovista.com/comments/feed/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/comments/feed/index.html	(from http://visiovista.com/)
21:08:42	942/942	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202017%2015:29:04%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/themes/theme-1.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/css/themes/theme-1a721.css	(from http://visiovista.com/)
21:08:42	14512/14512	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202017%2015:29:04%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/themes/modern.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/css/themes/moderna721.css	(from http://visiovista.com/)
21:08:43	44/44	---M--	200	added ('OK')	text/css	date:Wed,%2003%20May%202017%2015:29:04%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/themes/position-bottom-right.css?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/css/themes/position-bottom-righta721.css	(from http://visiovista.com/)
21:08:46	456396/456396	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Apr%202017%2008:16:43%20GMT	http://visiovista.com/wp-content/cache/wpfc-minified/d793d1e6db4e3d34c271155c75514ddc/1493281003index.css	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/cache/wpfc-minified/d793d1e6db4e3d34c271155c75514ddc/1493281003index.css	(from http://visiovista.com/)
21:08:48	61274/61274	---MC-	200	added ('OK')	application/rss+xml	etag:%224e673573ec5c0891af0d84d5ea6d2335%22	http://visiovista.com/feed/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/feed/index.html	(from http://visiovista.com/)
21:08:49	818/818	---MC-	200	added ('OK')	text/xml	date:Wed,%2010%20Apr%202019%2015:08:00%20GMT	http://visiovista.com/xmlrpc.php?rsd	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/xmlrpc0db0.php	(from http://visiovista.com/)
21:08:49	1045/1045	---M--	200	added ('OK')	application/xml	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-includes/wlwmanifest.xml	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-includes/wlwmanifest.xml	(from http://visiovista.com/)
21:08:50	2158/2158	---MC-	200	added ('OK')	application/json	date:Wed,%2010%20Apr%202019%2015:08:04%20GMT	http://visiovista.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvisiovista.com%2F	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-json/oembed/1.0/embed6f8e.json	(from http://visiovista.com/)
21:08:54	2257/2257	---MC-	200	added ('OK')	text/xml	date:Wed,%2010%20Apr%202019%2015:08:09%20GMT	http://visiovista.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fvisiovista.com%2F&format=xml	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-json/oembed/1.0/embedd3d8	(from http://visiovista.com/)
21:08:55	23789/23789	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Apr%202019%2015:08:10%20GMT	http://visiovista.com/wp-content/uploads/2017/04/final-logo-1.png	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/final-logo-1.14.delayed	(from http://visiovista.com/)
21:08:56	5649/5649	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202017%2008:36:52%20GMT	http://visiovista.com/wp-content/uploads/2017/04/final-logo.png	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/final-logo.png	(from http://visiovista.com/)
21:09:00	103478/103478	---MC-	200	added ('OK')	application/json	date:Wed,%2010%20Apr%202019%2015:08:01%20GMT	http://visiovista.com/wp-json/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-json/index.html	(from http://visiovista.com/)
21:09:01	48731/48731	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2015:08:16%20GMT	http://visiovista.com/service/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/service/index.html	(from http://visiovista.com/)
21:09:04	12492/12492	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2009:51:01%20GMT	http://visiovista.com/wp-content/uploads/2017/04/3067983-180x180.jpg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/3067983-180x180.jpg	(from http://visiovista.com/)
21:09:05	162090/162090	---M--	200	added ('OK')	application/javascript	date:Tue,%2019%20Mar%202019%2015:19:33%20GMT	http://visiovista.com/wp-content/cache/wpfc-minified/eb896f45855998e2ebd645b3b6cb81c5/1553008773index.js	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/cache/wpfc-minified/eb896f45855998e2ebd645b3b6cb81c5/1553008773index.js	(from http://visiovista.com/)
21:09:05	41547/41547	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2015:08:19%20GMT	http://visiovista.com/protfolio/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/protfolio/index.html	(from http://visiovista.com/)
21:09:06	68811/68811	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2008:35:03%20GMT	http://visiovista.com/wp-content/uploads/2017/04/desk-wallpaper-2400x1350-1600x800.jpg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/desk-wallpaper-2400x1350-1600x800.jpg	(from http://visiovista.com/)
21:09:06	8769/8769	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2009:50:56%20GMT	http://visiovista.com/wp-content/uploads/2017/04/11f3e40-180x180.jpg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/11f3e40-180x180.jpg	(from http://visiovista.com/)
21:09:06	41171/41171	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2015:08:21%20GMT	http://visiovista.com/about-us/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/about-us/index.html	(from http://visiovista.com/)
21:09:08	6118/6118	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2009:51:05%20GMT	http://visiovista.com/wp-content/uploads/2017/04/32b8bff-180x180.jpg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/32b8bff-180x180.jpg	(from http://visiovista.com/)
21:09:08	35101/35101	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2015:08:22%20GMT	http://visiovista.com/contact-us/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/contact-us/index.html	(from http://visiovista.com/)
21:09:08	2932/2932	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2009:50:59%20GMT	http://visiovista.com/wp-content/uploads/2017/04/149c91d.jpg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/149c91d.jpg	(from http://visiovista.com/)
21:09:09	34579/34579	---M-Z	200	added ('OK')	text/html	date:Wed,%2010%20Apr%202019%2015:08:22%20GMT	http://visiovista.com/blog/	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/blog/index.html	(from http://visiovista.com/)
21:09:11	14071/14071	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202017%2008:48:36%20GMT	http://visiovista.com/wp-content/uploads/2017/04/payoneer.png	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/payoneer.png	(from http://visiovista.com/)
21:09:12	4399/4399	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/scripts/frontend-builder-global-functions.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/scripts/frontend-builder-global-functions41fe.js	(from http://visiovista.com/)
21:09:12	18392/18392	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202017%2008:49:02%20GMT	http://visiovista.com/wp-content/uploads/2017/04/skrill-900x418.png	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/skrill-900x418.png	(from http://visiovista.com/)
21:09:15	15248/15248	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.51.0-2014.06.20	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.mind03d.js	(from http://visiovista.com/)
21:09:15	13676/13676	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.7	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/contact-form-7/includes/js/scripts4906.js	(from http://visiovista.com/)
21:09:17	7784/7784	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.mobile.custom.min.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.mobile.custom.min41fe.js	(from http://visiovista.com/)
21:09:19	13938/13938	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/js/smoothscroll.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/js/smoothscroll41fe.js	(from http://visiovista.com/)
21:09:20	3221/3221	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.fitvids.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.fitvids41fe.js	(from http://visiovista.com/)
21:09:22	8833/8833	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/scripts/waypoints.min.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/scripts/waypoints.min41fe.js	(from http://visiovista.com/)
21:09:22	44493/44493	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/js/custom.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/js/custom41fe.js	(from http://visiovista.com/)
21:09:23	93229/93229	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202017%2008:48:49%20GMT	http://visiovista.com/wp-content/uploads/2017/04/paypal_PNG14.png	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/paypal_PNG14.png	(from http://visiovista.com/)
21:09:24	1398/1398	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-includes/js/wp-embed.min.js?ver=4.7.13	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-includes/js/wp-embed.mina721.js	(from http://visiovista.com/)
21:09:25	9193/9193	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.easypiechart.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.easypiechart41fe.js	(from http://visiovista.com/)
21:09:26	22380/22380	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.magnific-popup.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/scripts/jquery.magnific-popup41fe.js	(from http://visiovista.com/)
21:09:26	116/116	---M--	200	added ('OK')	image/png	date:Thu,%2027%20Apr%202017%2009:46:50%20GMT	http://visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/grabbing.png	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/grabbing.png	(from http://visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.carousel.css?ver=4.7.13)
21:09:26	1517/1517	---M--	200	added ('OK')	image/gif	date:Thu,%2027%20Apr%202017%2009:46:50%20GMT	http://visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/AjaxLoader.gif	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/AjaxLoader.gif	(from http://visiovista.com/wp-content/plugins/testimonial-add/owl-carousel/owl.theme.css?ver=4.7.13)
21:09:26	847/847	---M--	200	added ('OK')	image/gif	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://visiovista.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.7)
21:09:28	5203/5203	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Apr%202016%2003:17:22%20GMT	https://www.google.com/recaptcha/api/img/red/sprite.png	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/www.google.com/recaptcha/api/img/red/sprite.png	(from http://visiovista.com/wp-content/plugins/google-captcha/css/gglcptch.css?ver=1.29)
21:09:28	229723/229723	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Apr%202017%2008:35:03%20GMT	http://visiovista.com/wp-content/uploads/2017/04/visiovista_home_slider3.jpg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/uploads/2017/04/visiovista_home_slider3.jpg	(from http://visiovista.com/)
21:09:34	34504/34504	---M--	200	added ('OK')	x-font/woff	date:Thu,%2027%20Apr%202017%2008:42:20%20GMT	http://visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.woff	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.woff	(from http://visiovista.com/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.5.0)
21:09:34	46668/46668	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Apr%202017%2008:42:20%20GMT	http://visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.eot	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.eot	(from http://visiovista.com/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.5.0)
21:09:37	46668/46668	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Apr%202017%2008:42:20%20GMT	http://visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.eot?	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicond41d.eot	(from http://visiovista.com/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.5.0)
21:09:37	116328/116328	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Apr%202017%2008:42:20%20GMT	http://visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.svg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.svg	(from http://visiovista.com/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.5.0)
21:09:38	6728/6728	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Apr%202017%2008:35:15%20GMT	http://visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.eot?gd6mr8	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpugbb91.eot	(from http://visiovista.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=4.7.13)
21:09:39	6728/6728	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2027%20Apr%202017%2008:35:15%20GMT	http://visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.eot?	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpugd41d.eot	(from http://visiovista.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=4.7.13)
21:09:39	4036/4036	---M--	200	added ('OK')	x-font/woff	date:Thu,%2027%20Apr%202017%2008:35:15%20GMT	http://visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.woff	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.woff	(from http://visiovista.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=4.7.13)
21:09:40	3221/3221	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2027%20Apr%202017%2008:35:15%20GMT	http://visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.svg	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.svg	(from http://visiovista.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=4.7.13)
21:09:40	6556/6556	---M--	200	added ('OK')	font/ttf	date:Thu,%2027%20Apr%202017%2008:35:15%20GMT	http://visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.ttf	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-pug/assets/fonts/socialpug.ttf	(from http://visiovista.com/wp-content/plugins/social-pug/assets/css/style-frontend.css?ver=4.7.13)
21:09:41	46504/46504	---M--	200	added ('OK')	font/ttf	date:Thu,%2027%20Apr%202017%2008:42:20%20GMT	http://visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.ttf	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/social-icons/assets/fonts/socicon.ttf	(from http://visiovista.com/wp-content/plugins/social-icons/assets/css/social-icons.css?ver=1.5.0)
21:09:43	139873/139873	---M--	200	added ('OK')	application/javascript	date:Tue,%2025%20Apr%202017%2014:11:02%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/scripts/frontend-builder-scripts.js?ver=3.0.1	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/scripts/frontend-builder-scripts41fe.js	(from http://visiovista.com/)
21:09:52	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20May%202017%2015:29:00%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont.eot?v=4.6.3	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont5b62.eot	(from http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/font-awesome.min.css?ver=4.7.13)
21:09:53	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2003%20May%202017%2015:29:00%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont.eot?	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfontd41d.eot	(from http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/font-awesome.min.css?ver=4.7.13)
21:09:53	71896/71896	---M--	200	added ('OK')	application/font-woff2	date:Wed,%2003%20May%202017%2015:29:00%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont5b62.woff2	(from http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/font-awesome.min.css?ver=4.7.13)
21:09:59	392306/392306	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2003%20May%202017%2015:29:00%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont.svg?v=4.6.3	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont5b62.svg	(from http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/font-awesome.min.css?ver=4.7.13)
21:10:00	90412/90412	---M--	200	added ('OK')	x-font/woff	date:Wed,%2003%20May%202017%2015:29:00%20GMT	http://visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont.woff?v=4.6.3	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/plugins/wp-live-chat-support/fonts/fontawesome-webfont5b62.woff	(from http://visiovista.com/wp-content/plugins/wp-live-chat-support/css/font-awesome.min.css?ver=4.7.13)
21:10:00	1374/1374	---M--	200	added ('OK')	image/gif	date:Thu,%2027%20Apr%202017%2008:36:54%20GMT	http://visiovista.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	C:/Users/Shaheen/Desktop/VisioVista%20file/Website%20edit/visiovista.com/wp-content/themes/Divi/includes/builder/styles/images/subscribe-loader.gif	(from http://visiovista.com/wp-content/cache/wpfc-minified/d793d1e6db4e3d34c271155c75514ddc/1493281003index.css)
